timestamp,id_maquina,temperatura_c,pressao_psi,vibracao_mm_s
2025-04-09 09:33:32.567632,MCH_0073,88.41,23.43,1.59
2025-04-26 16:48:32.567632,MCH_0019,80.52,23.81,1.2
2025-04-29 08:48:32.567632,MCH_0002,96.64,29.48,1.22
2025-03-01 07:33:32.567632,MCH_0024,74.01,29.87,1.07
2025-05-14 02:33:32.567632,MCH_0071,73.9,36.45,1.05
2025-05-25 09:03:32.567632,MCH_0034,61.99,25.06,1.21
2025-03-13 23:03:32.567632,MCH_0030,76.43,35.23,1.52
2025-06-03 07:48:32.567632,MCH_0076,60.77,32.5,1.15
2025-06-02 17:18:32.567632,MCH_0010,55.54,32.21,1.09
2025-03-22 15:33:32.567632,MCH_0041,81.85,22.11,1.53
2025-03-11 19:33:32.567632,MCH_0045,88.81,42.91,1.35
2025-05-08 12:33:32.567632,MCH_0091,80.68,31.93,0.99
2025-03-14 07:03:32.567632,MCH_0076,77.64,34.24,1.16
2025-03-17 20:03:32.567632,MCH_0075,84.13,29.97,1.03
2025-04-05 15:48:32.567632,MCH_0077,92.32,35.37,1.32
2025-04-05 03:18:32.567632,MCH_0007,52.53,31.52,1.13
2025-03-24 15:33:32.567632,MCH_0005,88.98,37.65,1.5
2025-03-08 15:18:32.567632,MCH_0054,63.68,32.48,1.59
2025-04-22 03:03:32.567632,MCH_0087,80.9,28.57,1.08
2025-05-08 12:18:32.567632,MCH_0022,65.69,27.97,1.28
2025-05-02 14:18:32.567632,MCH_0083,82.03,34.94,1.4
2025-06-11 16:03:32.567632,MCH_0042,74.58,25.35,1.14
2025-04-13 01:33:32.567632,MCH_0093,67.85,32.06,1.17
2025-03-05 11:18:32.567632,MCH_0071,68.56,31.86,1.08
2025-03-27 08:18:32.567632,MCH_0045,81.44,27.98,1.07
2025-05-01 22:33:32.567632,MCH_0081,72.31,23.3,0.92
2025-03-20 00:18:32.567632,MCH_0076,65.84,30.78,1.27
2025-04-20 15:03:32.567632,MCH_0059,91.14,29.28,1.6
2025-04-23 23:18:32.567632,MCH_0055,80.81,30.6,1.21
2025-03-11 13:48:32.567632,MCH_0085,65.28,34.93,1.55
2025-05-14 15:03:32.567632,MCH_0020,95.18,28.91,0.96
2025-05-01 13:18:32.567632,MCH_0031,88.52,33.01,1.33
2025-04-01 01:48:32.567632,MCH_0048,81.22,24.95,1.29
2025-05-23 22:18:32.567632,MCH_0079,58.04,35.65,1.66
2025-04-16 10:18:32.567632,MCH_0087,70.52,26.47,0.78
2025-03-20 11:18:32.567632,MCH_0010,52.48,19.88,1.4
2025-05-30 05:48:32.567632,MCH_0015,66.89,23.32,1.28
2025-05-18 18:03:32.567632,MCH_0038,79.12,28.76,1.27
2025-05-28 21:18:32.567632,MCH_0062,65.92,30.41,1.08
2025-05-27 02:18:32.567632,MCH_0047,77.96,30.87,1.24
2025-04-27 11:33:32.567632,MCH_0066,60.26,24.71,0.89
2025-05-28 06:48:32.567632,MCH_0066,75.16,28.78,1.06
2025-04-06 18:18:32.567632,MCH_0034,77.52,23.96,1.12
2025-05-30 01:18:32.567632,MCH_0095,73.0,27.21,1.24
2025-06-06 19:18:32.567632,MCH_0063,91.09,26.54,0.91
2025-05-14 01:03:32.567632,MCH_0086,68.63,26.83,1.23
2025-06-09 02:18:32.567632,MCH_0047,64.71,34.92,1.13
2025-05-24 02:03:32.567632,MCH_0092,64.47,29.06,0.59
2025-04-25 13:33:32.567632,MCH_0001,82.01,34.75,1.03
2025-04-02 20:18:32.567632,MCH_0088,87.33,26.58,0.71
2025-06-08 12:03:32.567632,MCH_0071,86.76,23.17,1.32
2025-03-12 11:03:32.567632,MCH_0016,65.33,26.58,1.5
2025-03-18 07:48:32.567632,MCH_0030,77.6,32.46,1.08
2025-03-04 20:03:32.567632,MCH_0042,68.09,27.88,0.94
2025-03-20 12:03:32.567632,MCH_0025,75.24,22.15,1.68
2025-04-12 06:48:32.567632,MCH_0089,68.77,26.59,1.17
2025-04-18 04:33:32.567632,MCH_0077,75.52,33.04,1.07
2025-06-10 16:33:32.567632,MCH_0017,77.56,30.93,0.48
2025-06-01 00:33:32.567632,MCH_0061,67.63,38.12,1.09
2025-04-07 07:33:32.567632,MCH_0058,70.63,27.61,1.22
2025-03-01 08:33:32.567632,MCH_0055,86.24,32.45,1.4
2025-03-18 20:03:32.567632,MCH_0061,94.42,25.66,1.15
2025-05-23 03:18:32.567632,MCH_0086,96.91,25.95,1.28
2025-04-14 15:48:32.567632,MCH_0019,72.47,30.23,1.32
2025-06-09 10:33:32.567632,MCH_0021,67.1,22.77,1.46
2025-03-16 08:48:32.567632,MCH_0055,84.63,22.01,1.18
2025-05-12 21:33:32.567632,MCH_0099,77.45,37.12,1.07
2025-05-07 21:03:32.567632,MCH_0077,70.84,25.97,1.35
2025-05-05 08:48:32.567632,MCH_0048,70.28,32.18,1.12
2025-03-24 21:33:32.567632,MCH_0039,88.22,28.71,0.95
2025-03-05 18:18:32.567632,MCH_0080,64.82,33.92,1.23
2025-06-10 01:03:32.567632,MCH_0006,74.99,23.85,0.7
2025-06-03 10:18:32.567632,MCH_0052,69.38,36.58,1.03
2025-03-14 13:18:32.567632,MCH_0093,59.56,25.12,0.92
2025-05-21 13:48:32.567632,MCH_0015,63.96,22.71,0.64
2025-05-24 02:33:32.567632,MCH_0022,81.66,23.33,0.64
2025-05-22 11:18:32.567632,MCH_0068,75.26,29.77,0.64
2025-06-04 14:03:32.567632,MCH_0075,71.46,30.54,1.47
2025-05-13 08:18:32.567632,MCH_0045,74.64,25.61,1.62
2025-05-04 07:03:32.567632,MCH_0092,77.78,35.27,1.4
2025-03-09 16:03:32.567632,MCH_0029,57.61,24.69,1.18
2025-05-16 18:48:32.567632,MCH_0004,52.36,36.27,1.52
2025-04-23 08:48:32.567632,MCH_0052,57.77,28.39,1.23
2025-04-06 17:48:32.567632,MCH_0079,50.73,28.0,1.47
2025-03-23 16:03:32.567632,MCH_0089,85.95,29.94,0.97
2025-06-12 11:33:32.567632,MCH_0046,84.1,31.81,1.7
